ID,Sep_2018,Jun_2018,Mar_2018,Dec_2017
CVS,47.27,46.71,45.69,48.38
TXT,3.2,3.73,3.3,4.02
CFG,1.49,1.42,1.38,1.4
ALOT,34.2,33.81,31.49,32.7
HAS,1.57,0.90446,0.71634,1.6
